,Texto,Usuario,Fuente,Conteo de retweets,Conteo de favoritos
30,En Wuhan salen a las calles a celebrar la llegada del 2021 https://t.co/FxMSbfNzX1 https://t.co/HDz8RjCzB5,AristeguiOnline,Hootsuite Inc.,338,1832
31,Revelan 'lavado' por mil millones de pesos en la CDMX durante gobiernos de Mancera y Amieva https://t.co/cYCuVshxqW https://t.co/2jqmMtivmP,AristeguiOnline,Hootsuite Inc.,331,817
32,Teníamos gobierno 'mantenido y bueno para nada': AMLO https://t.co/DH0sFvAFTI https://t.co/3aQQxH1zQP,AristeguiOnline,Hootsuite Inc.,326,2033
33,"Con Félix Salgado, Acapulco se volvió madriguera de narcotraficantes: Anabel Hernández | #Entérate
https://t.co/dV9mkpBWCc https://t.co/IQ1UH5KG0G",AristeguiOnline,Hootsuite Inc.,325,827
34,#ÚltimaHora | AMLO da positivo a Covid-19 https://t.co/t4Y9KyZGoN https://t.co/DBBg8SyXwm,AristeguiOnline,Hootsuite Inc.,322,1612
35,"Hallan escultura femenina de casi 2 metros de altura en Veracruz; es la primera en su tipo: INAH
https://t.co/cJ8FlhHjb2 https://t.co/vlYjWukckJ",AristeguiOnline,Hootsuite Inc.,319,2003
36,"#AristeguiEnVivo | Yo no llegaría a decir que son pendejos los de la DEA -todavía- pero llevaron en secreto un asunto que deberían haber llevado en colaboración con México de acuerdo con los convenios: Alejandro Gertz Manero, titular de @FGRMexico 

Aquí 👉https://t.co/Yr4FpDQ4AE https://t.co/HEoyYyqiKO",AristeguiOnline,Twitter for iPhone,317,865
37,¡Bravo! Policía de la CDMX regresa a joven mochila con 30 mil pesos que usaría para comprar un tanque de oxígeno https://t.co/Rw5ljm8MdZ https://t.co/hOyXwANqFI,AristeguiOnline,Hootsuite Inc.,315,2092
38,Aumenta demanda de Signal y Telegram ante debate por condiciones de uso de WhatsApp https://t.co/ymFA2Py7qu https://t.co/pSXv2jSawd,AristeguiOnline,Hootsuite Inc.,315,824
39,Quienes viajaron con AMLO en avión deben aislarse y realizarse una prueba: especialista https://t.co/2kOnxogN4z https://t.co/D2I324Lalu,AristeguiOnline,Hootsuite Inc.,306,1341
40,"Walmart confirma que ofreció ayuda al Gobierno Federal para que se instalen módulos de vacunación en sus estacionamientos, además de brindar agua, alimento y acceso a instalaciones al Ejército y la Marina. Esto por sus ubicaciones en todo el territorio https://t.co/JkDY8gLb6a https://t.co/XH50e2chOm",AristeguiOnline,Hootsuite Inc.,294,1688
41,"#Dinero con @galvanochoa | El gasto en publicidad del gobierno actual en 2020 fue de 654 millones de pesos, un presupuesto muy por debajo de los 9 mil 132 millones que gastó el sexenio de Peña Nieto en su último año https://t.co/KA3gt1KPLU https://t.co/9LE1KZwNsr",AristeguiOnline,Hootsuite Inc.,292,843
