,Texto,Usuario,Fuente,Conteo de retweets,Conteo de favoritos
53,¿Vengarse? ¿Para qué? la gente mala se destruye sola.,SoloReflexiones,TweetDeck,2437,4652
54,"Concéntrate en ti, en cumplir tus metas, en hacer lo que te gusta, y si alguien aparece y quiere caminar junto a ti, pues está bien, y si es lo contrario, pues adelante sigue haciéndolo sin esa persona. El secreto está en no complicarte la vida por nadie.",SoloReflexiones,TweetDeck,2424,5291
55,Me parece un detallazo que te enseñen o dediquen canciones.,SoloReflexiones,TweetDeck,2423,6392
56,"""Lucha siempre por tu felicidad y deshazte de todo lo que te impida salir adelante.""",SoloReflexiones,TweetDeck,2413,1124
57,"""Para que una herida sane hay que dejar de tocarla.""",SoloReflexiones,TweetDeck,2390,1386
58,"Me gusta estar rodeado de gente sana, que no juzga y se ríe de todo.",SoloReflexiones,TweetDeck,2387,5120
59,Te sobró miedo y te faltó amor. Por eso lastimaste a quien te intentó levantar.,SoloReflexiones,TweetDeck,2346,5334
60,¿Sabes qué es lo más triste de una traición? Que nunca viene de un enemigo.,SoloReflexiones,TweetDeck,2340,6180
61,"La magia de conectar, y la suerte de coincidir.",SoloReflexiones,TweetDeck,2318,4975
62,https://t.co/VdMz5dTVeo,SoloReflexiones,TweetDeck,2305,4819
63,"No te alejas nunca de lo que te hace bien y te llena de ganas. Amor no es donde vuelves, es de donde nunca te vas, estés donde estés.",SoloReflexiones,TweetDeck,2299,5891
64,Lo que me haga bien y no te haga mal. Lo que te haga reír y no me haga llorar. Lo que me brinde paz y no te quite la calma. Lo que te sume y no me reste. Lo que nos haga felices sin provocarle daño a los demás. Eso. Sólo eso. Todo eso.,SoloReflexiones,TweetDeck,2280,4364
65,Hagamos las cosas con amor y por amor.,SoloReflexiones,TweetDeck,2259,4351
66,La única vez que hay que mirar atrás en la vida es para ver lo lejos que hemos llegado.,SoloReflexiones,TweetDeck,2258,1077
67,"¡Haz el bien!
Se devolverá a ti de formas inesperadas.",SoloReflexiones,TweetDeck,2256,4922
68,Los besos en el cuello son lo mejor que existe.,SoloReflexiones,TweetDeck,2237,6625
69,"Nunca se arrepientan de tener un buen corazón, todo lo bueno vuelve y multiplicado.",SoloReflexiones,TweetDeck,2209,4796
70,“Yo me entero de todo. Que no te lo diga es diferente.”,SoloReflexiones,Hootsuite,2179,1151
71,"No necesito que sea fácil, solo necesito que sea posible.",SoloReflexiones,TweetDeck,2179,5380
72,Que peligrosos nuestros pensamientos. https://t.co/WAVC80FLRI,SoloReflexiones,TweetDeck,2171,5490
73,"Que confíe en ti, que te cuide y se preocupe por ti, que se disculpe cuando cometa un error, que siempre sea detallista y no en lo material, que tenga un lado cursi y un lado pervertido, que te haga sonreír siempre, que te respete y apoye en las buenas y en la malas. Eso es amor.",SoloReflexiones,Twitter for Android,2170,4305
74,https://t.co/FspfZXYjlk,SoloReflexiones,TweetDeck,2149,5879
75,"Nunca se dejen llevar por el pasado de una persona. Si la quieres, la vas a conocer tú, a tu manera, desde tu perspectiva y no de bocas ajenas.",SoloReflexiones,TweetDeck,2144,5253
76,Cada quien ofrece lo que tiene en su corazón.,SoloReflexiones,TweetDeck,2107,5017
77,Ojalá pudieras leerme la mente y ver todo lo que no sé decirte.,SoloReflexiones,TweetDeck,2106,4133
78,"La verdad duele, la mentira mata… pero la duda, tortura.",SoloReflexiones,TweetDeck,2101,5327
79,Es cuidarse! https://t.co/sKvftJFtGD,SoloReflexiones,TweetDeck,2093,4113
80,"“Vivir riendo, eso es vida.”",SoloReflexiones,Hootsuite,2081,1115
81,Un beso al cielo por esa persona que nos dejó un vacío inmenso pero nos manda fuerza para seguir de pie.,SoloReflexiones,TweetDeck,2075,4490
82,"Tardo 0,1 en desmotivarme cuando veo actitudes o algo que no me gusta.",SoloReflexiones,TweetDeck,2062,4438
83,"Una persona que te quiere, no te hace daño sin querer.",SoloReflexiones,TweetDeck,2056,5232
84,https://t.co/TBam284V8t,SoloReflexiones,TweetDeck,2056,5462
85,"Aprendan a ver películas solos, a comer solos, dormir solos y a salir de sus crisis existenciales solos. No siempre habrá un amigo, una pareja o alguien.",SoloReflexiones,TweetDeck,2025,5527
86,"Cuando una persona está enojada, todavía estás a tiempo, pero cuando esta cansada ya es tarde.",SoloReflexiones,TweetDeck,2010,6214
87,"Consejo DEJEEEEEEEN IRRRRRRRRR, sufran, lloren, bla bla... DESPUÉS LLEGAN TANTAS COSAS BUENAS que dicen porque estaba mal por eso, y son felices, dedíquense a ustedes. ¡AMOR PROPIO, MUUUUUCHO AMOR PROPIO!",SoloReflexiones,TweetDeck,1999,6247
88,"No creo que el “amor de tu vida” sea con quien has terminado 14 veces, tampoco creo que sea quien te ha dejado por irse con alguien más, ni mucho menos, quien regreso contigo después de que no funciono con la otra persona.",SoloReflexiones,TweetDeck,1996,5812
89,"Exploten de amor y sean intensos, porque el desinterés solo llega alejar a las personas.",SoloReflexiones,TweetDeck,1989,5112
90,"Te quiero a ti con todo incluido: tus defectos, tu pasado, tus errores, tu sonrisa, tus bromas, tu sarcasmo, tus celos, tus enojos.",SoloReflexiones,TweetDeck,1982,1307
91,"""Aprendí que el mejor regalo que alguien te puede hacer es dedicarte su tiempo, escucharte, preocuparse por ti y que te ayude a no rendirte""",SoloReflexiones,Twitter for Android,1978,3366
